name,slug,category,fame_tier,fame_label,pageviews_monthly_avg,sitelinks,occupations,matched,matched_referent,matched_descriptor,matched_id,site_category,existence_confidence,weight_rank,weight_total,n_referents,n_models_recognize,n_models
Hillary Clinton,hillary-clinton,politician,famous,Household name,198786,196.0,,True,Hillary Rodham Clinton,American politician and diplomat,hillary-rodham-clinton,politics,100.0,142.0,343423.0,1,13,13
Hilton Jefferson,hilton-jefferson,musician,low,Obscure,194,6.0,jazz musician; musician; saxophonist,True,Hilton Jefferson,American jazz alto saxophonist,hilton-jefferson-jazz-saxophonist,music,95.0,21620.0,343488.0,4,10,13
Hovhannes Imastaser,hovhannes-imastaser,scientist,low,Obscure,187,12.0,matenagir; philosopher; scientist; teacher,True,Hovhannes Imastaser,Medieval Armenian philosopher and theologian,hovhannes-imastaser,religion,90.0,14967.0,343498.0,1,11,13
Huang Nubo,huang-nubo,athlete,low,Obscure,212,8.0,athlete; businessperson; entrepreneur; mountaineer; poet; writer,True,Huang Nubo,Chinese real estate tycoon,huang-nubo-business,business,95.0,13025.0,343498.0,4,11,13
Hugo Maradona,hugo-maradona,athlete,high,Well-known,2023,30.0,association football coach; association football player; athlete,True,Hugo Maradona,"Argentine footballer, Diego's brother",hugo-maradona,sports,95.0,15319.0,343453.0,1,10,13
Ibrāhīm al-khawāṣṣ,ibr~101~h~12b~m-al~2d~khaw~101~~1e63~~1e63~,scientist,low,Obscure,179,8.0,Islamic jurist; Sufi; dawah; scientist,True,Ibrāhīm al-Khawāṣṣ,Maliki jurist and scholar,ibrahim-al-khawwas-jurist,religion,35.0,,,7,1,13
Irshad Manji,irshad-manji,journalist,high,Well-known,2822,38.0,journalist; women's rights activist; writer,True,Irshad Manji,Canadian Islamic reform author,irshad-manji,writing,95.0,6611.0,343473.0,1,12,13
Ivo Sanader,ivo-sanader,politician,high,Well-known,2347,59.0,journalist; literary scholar; politician,True,Ivo Sanader,"Croatian PM 2003-2009, HDZ leader",ivo-sanader,politics,95.0,5950.0,343420.0,2,12,13
Jack White,jack-white,athlete,deushared,Shared-name German footballer,5053,,association football player,True,Jack White,American football coach,jack-white-american-football-coach,sports,35.0,,,11,1,13
Jakov Lind,jakov-lind,actor,low,Obscure,199,14.0,actor; film director; painter; playwright; translator; writer,True,Jakov Lind,Austrian-British Holocaust-survivor writer,jakov-lind-writer,writing,90.0,11112.0,343484.0,3,11,13
James Oliver Curwood,james-oliver-curwood,novelist,pdpublic,Novelist (public-domain),1555,,novelist,True,James Oliver Curwood,American wilderness adventure novelist,james-oliver-curwood,writing,95.0,2864.0,343568.0,1,13,13
James Scullin,james-scullin,politician,high,Well-known,2501,39.0,diplomat; head of government; politician,True,James Scullin,9th Prime Minister of Australia,james-scullin-pm,politics,95.0,2864.0,343423.0,2,13,13
Jan Baptist van Helmont,jan-baptist-van-helmont,scientist,high,Well-known,3129,48.0,alchemist; chemist; philosopher; physician; physician writer; physicist; physiologist; scientist; writer,True,Jan Baptist van Helmont,Flemish chemist and physician,jan-baptist-van-helmont,science,95.0,2698.0,343470.0,1,13,13
Jan Costin Wagner,jan-costin-wagner,musician,low,Obscure,162,9.0,musician; writer,True,Jan Costin Wagner,German crime novelist,jan-costin-wagner-german-crime-novelist,writing,95.0,19807.0,343489.0,4,9,13
Jane Ellen Harrison,jane-ellen-harrison,scientist,high,Well-known,1767,30.0,anthropologist; archaeologist; art historian; classical philologist; classical scholar; essayist; linguist; mythographer; scientist; suffragist; university teacher; writer,True,Jane Ellen Harrison,British classical scholar and mythologist,jane-ellen-harrison-classical-scholar,science,95.0,8840.0,343472.0,4,11,13
Jane Goodall,jane-goodall,scientist,famous,Household name,335428,120.0,,True,Jane Goodall,British primatologist and chimpanzee researcher,jane-goodall,science,100.0,930.0,343420.0,2,13,13
Jean-Baptiste Alphonse Karr,jean~2d~baptiste-alphonse-karr,novelist,pdpublic,Novelist (public-domain),1364,,novelist,True,Jean-Baptiste Alphonse Karr,19th-century French writer,jean-baptiste-alphonse-karr,writing,95.0,7279.0,343568.0,1,12,13
Jean-Pierre Raffarin,jean~2d~pierre-raffarin,politician,high,Well-known,2001,52.0,head of government; lawyer; politician,True,Jean-Pierre Raffarin,French Prime Minister 2002-2005,jean-pierre-raffarin,politics,95.0,2864.0,343470.0,1,13,13
Joachim Starbatty,joachim-starbatty,politician,low,Obscure,182,7.0,economist; politician; university teacher,True,Joachim Starbatty,German economist and eurosceptic politician,joachim-starbatty,politics,95.0,9473.0,343471.0,1,12,13
Joan Perucho,joan-perucho,novelist,low,Obscure,168,9.0,art critic; judge; jurist; novelist; poet; restaurateur; writer,True,Joan Perucho,Catalan fantasy writer,joan-perucho-writer,writing,95.0,15234.0,343514.0,4,10,13
Johan Ludvig Runeberg,johan-ludvig-runeberg,journalist,high,Well-known,2242,59.0,hymnwriter; journalist; poet; teacher; writer,True,Johan Ludvig Runeberg,Finnish national poet,johan-ludvig-runeberg,writing,95.0,2291.0,343473.0,1,13,13
Johan Micoud,johan-micoud,athlete,nameuniq,Unique name,2226,,association football player; color commentator,True,Johan Micoud,French attacking midfielder footballer,johan-micoud-footballer,sports,95.0,14421.0,343560.0,4,10,13
Johann Andreas Schubert,johann-andreas-schubert,scientist,low,Obscure,178,9.0,bandleader; civil engineer; composer; engineer; entrepreneur; executive; mathematician; pedagogue; scientist; university teacher,True,Johann Andreas Schubert,German steam-locomotive engineer,johann-andreas-schubert-engineer,tech,90.0,19516.0,343509.0,6,9,13
John Hutchinson,john-hutchinson,athlete,nameshared,Shared name (4+ namesakes),882,,association football coach; association football player,True,John Hutchinson,"English footballer, 1930s full-back",john-hutchinson-footballer-english,sports,45.0,,,16,1,13
Jonathan Hogg,jonathan-hogg,athlete,nameshared,Shared name (4+ namesakes),1836,,association football player,True,Jonathan Hogg,English professional footballer,jonathan-hogg-footballer,sports,95.0,24152.0,343513.0,12,9,13
Jorge Ibargüengoitia,jorge-ibarg~fc~engoitia,journalist,high,Well-known,2357,23.0,journalist; novelist; playwright; writer,True,Jorge Ibargüengoitia,Mexican satirical novelist,jorge-ibarguengoitia-writer,writing,95.0,18794.0,343453.0,4,9,13
Joseph Liouville,joseph-liouville,scientist,high,Well-known,2325,47.0,astronomer; engineer; mathematician; politician; professor; scientist; university teacher,True,Joseph Liouville,French 19th-century mathematician,joseph-liouville,science,100.0,2478.0,343471.0,1,13,13
Joseph Schmidt,joseph-schmidt,actor,nameshared,Shared name (4+ namesakes),988,,actor; film actor; hazzan; musician; opera singer; singer,True,Joseph Schmidt,Austro-Hungarian tenor,joseph-schmidt-tenor,music,,17715.0,343555.0,8,10,13
Josh Sussman,josh-sussman,actor,nameuniq,Unique name,1763,,actor; film actor; television actor,True,Josh Sussman,American actor,josh-sussman-actor,film-tv,90.0,26967.0,343557.0,6,8,13
Joy Fielding,joy-fielding,novelist,pdcopyright,Novelist (in-copyright),993,,novelist,True,Joy Fielding,Canadian thriller novelist,joy-fielding-author,writing,95.0,10112.0,343557.0,5,11,13
Julius Hirsch,julius-hirsch,athlete,deushared,Shared-name German footballer,1150,,association football player,True,Julius Hirsch,German Jewish footballer,julius-hirsch-footballer,sports,95.0,19698.0,343413.0,11,9,13
Jô Soares,j~f4~-soares,novelist,pdcopyright,Novelist (in-copyright),1076,,novelist,True,Jô Soares,Brazilian comedian and TV host,jo-soares-comedian,film-tv,95.0,9077.0,343579.0,2,11,13
Karl Henry,karl-henry,athlete,nameuniq,Unique name,1326,,association football player,True,Karl Henry,English former football midfielder,karl-henry-footballer,sports,,26132.0,343555.0,9,10,13
Karlheinz Förster,karlheinz-f~f6~rster,athlete,deuuniq,Unique-name German footballer,1340,,association football player,True,Karlheinz Förster,German football defender,karlheinz-forster-footballer,sports,95.0,10671.0,343415.0,3,11,13
Kathryn Lasky,kathryn-lasky,novelist,pdcopyright,Novelist (in-copyright),1963,,novelist,True,Kathryn Lasky,children's fantasy author,kathryn-lasky-author,writing,95.0,8958.0,343581.0,3,11,13
Katy Garbi,katy-garbi,musician,high,Well-known,1470,23.0,musician; singer,True,Katy Garbi,Greek pop and laïko singer,katy-garbi-greek-singer,music,95.0,17344.0,343471.0,3,10,13
Kim Tal-su,kim-tal~2d~su,novelist,low,Obscure,105,5.0,novelist; writer,True,Kim Tal-su,Zainichi Korean novelist,kim-tal-su-writer,writing,85.0,84834.0,343506.0,6,4,13
Klaus Balkenhol,klaus-balkenhol,athlete,low,Obscure,195,16.0,athlete; coach; dressage rider; dressage trainer; equestrian,True,Klaus Balkenhol,German Olympic dressage rider,klaus-balkenhol-equestrian,sports,95.0,20005.0,343488.0,4,9,13
Klaus Fischer,klaus-fischer,athlete,nameshared,Shared name (4+ namesakes),2256,,association football coach; association football player,True,Klaus Fischer,German football striker,klaus-fischer-footballer,sports,95.0,7774.0,343555.0,6,12,13
Kotono Mitsuishi,kotono-mitsuishi,actor,high,Well-known,5757,28.0,actor; film actor; narrator; radio personality; recording artist; seiyū; singer,True,Kotono Mitsuishi,Japanese voice actress,kotono-mitsuishi,film-tv,95.0,3261.0,343470.0,1,13,13
Kubanychbek Jumaliyev,kubanychbek-jumaliyev,politician,low,Obscure,177,9.0,politician,True,Kubanychbek Jumaliyev,Kyrgyz politician and former PM,kubanychbek-jumaliyev-politician,politics,85.0,27508.0,343473.0,4,9,13
Kurt Julius Goldstein,kurt-julius-goldstein,journalist,low,Obscure,221,9.0,journalist; writer,True,Kurt Julius Goldstein,German communist Holocaust survivor,kurt-julius-goldstein-holocaust-survivor,politics,85.0,42239.0,343514.0,6,6,13
Kurt Landau,kurt-landau,politician,low,Obscure,183,11.0,politician,True,Kurt Landau,Austrian Trotskyist activist,kurt-landau-trotskyist,politics,85.0,31200.0,343472.0,8,8,13
Kurt Landauer,kurt-landauer,athlete,deuuniq,Unique-name German footballer,1041,,association football player,True,Kurt Landauer,FC Bayern Munich president,kurt-landauer-bayern,sports,95.0,14733.0,343436.0,5,10,13
Kwesi Ahoomey-Zunu,kwesi-ahoomey~2d~zunu,politician,low,Obscure,181,14.0,minister; politician,True,Kwesi Ahoomey-Zunu,Togolese former Prime Minister,kwesi-ahoomey-zunu-togo,politics,85.0,42151.0,343472.0,3,6,13
Laila Lalami,laila-lalami,novelist,high,Well-known,2466,23.0,essayist; journalist; linguist; novelist; university teacher; writer,True,Laila Lalami,Moroccan-American novelist and essayist,laila-lalami,writing,95.0,8802.0,343472.0,2,11,13
Lasha Bekauri,lasha-bekauri,athlete,high,Well-known,2196,40.0,athlete; judoka,True,Lasha Bekauri,Georgian Olympic judoka,lasha-bekauri-judoka,sports,90.0,31423.0,343453.0,7,7,13
Leonardo Favio,leonardo-favio,actor,high,Well-known,3415,25.0,actor; composer; film actor; film director; film producer; screenwriter; singer,True,Leonardo Favio,"Argentine singer, actor, film director",leonardo-favio-argentine,film-tv,95.0,6652.0,343453.0,2,12,13
Leopold Sonnemann,leopold-sonnemann,journalist,low,Obscure,215,10.0,banker; journalist; politician; publisher,True,Leopold Sonnemann,German publisher and politician,leopold-sonnemann-publisher,media,95.0,12154.0,343496.0,5,11,13
Lionel Messi,lionel-messi,athlete,famous,Household name,677288,219.0,,True,Lionel Messi,Argentine football superstar,lionel-messi,sports,100.0,2.0,343431.0,1,13,13
Lisa Batiashvili,lisa-batiashvili,musician,high,Well-known,2866,22.0,musician; violinist,True,Lisa Batiashvili,Georgian-German classical violinist,lisa-batiashvili-violinist,music,95.0,9114.0,343470.0,3,11,13
Lluís Quintana-Murci,llu~ed~s-quintana~2d~murci,scientist,low,Obscure,175,7.0,biologist; geneticist; human evolution; professor; researcher; scientist; university teacher,True,Lluís Quintana-Murci,French-Spanish population geneticist,llu-s-quintana-murci-geneticist,science,95.0,7826.0,343501.0,1,12,13
Louis Nirenberg,louis-nirenberg,scientist,high,Well-known,2228,31.0,mathematician; scientist; university teacher,True,Louis Nirenberg,Canadian-American mathematician,louis-nirenberg-mathematician,science,95.0,8257.0,343470.0,3,11,13
Lucien Laurent,lucien-laurent,athlete,high,Well-known,1755,42.0,association football coach; association football player; athlete,True,Lucien Laurent,French Olympic cyclist 1900,lucien-laurent-cyclist,sports,30.0,,,4,1,13
Ludwig Achim von Arnim,ludwig-achim-von-arnim,novelist,pdpublic,Novelist (public-domain),1072,,novelist,True,Ludwig Achim von Arnim,German Romantic poet,ludwig-achim-von-arnim,writing,95.0,3163.0,343585.0,1,13,13
Léo Errera,l~e9~o-errera,scientist,low,Obscure,166,9.0,botanist; physiologist; scientist; university teacher,True,Léo Errera,Belgian botanist and plant physiologist,leo-errera-botanist,science,85.0,25547.0,343500.0,4,9,13
Léon Daudet,l~e9~on-daudet,novelist,high,Well-known,2539,27.0,biographer; journalist; literary critic; memoirist; novelist; opinion journalist; politician; writer,True,Léon Daudet,French royalist writer and journalist,leon-daudet,writing,95.0,8927.0,343471.0,2,11,13
Madame de Lafayette,madame-de-lafayette,novelist,pdpublic,Novelist (public-domain),1752,,novelist,True,Madame de Lafayette,2010 historical fiction novel,madame-de-lafayette-novel,writing,,,,3,1,13
Majid Majidi,majid-majidi,actor,high,Well-known,6350,42.0,actor; director; film actor; film director; film producer; screenwriter,True,Majid Majidi,Iranian film director,majid-majidi,film-tv,95.0,5889.0,343470.0,1,12,13
Manfred von Ardenne,manfred-von-ardenne,scientist,high,Well-known,2318,30.0,inventor; physicist; politician; scientist; university teacher,True,Manfred von Ardenne,German physicist and inventor,manfred-von-ardenne,science,95.0,5265.0,343447.0,2,12,13
Marcus Hahnemann,marcus-hahnemann,athlete,deuuniq,Unique-name German footballer,1940,,association football player,True,Marcus Hahnemann,American soccer goalkeeper,marcus-hahnemann-soccer,sports,95.0,10066.0,343432.0,4,11,13
Margaret Atwood,margaret-atwood,novelist,famous,Household name,80266,109.0,,True,Margaret Atwood,Canadian novelist and poet,margaret-atwood-author,writing,100.0,1234.0,343450.0,3,13,13
Maria Osten,maria-osten,journalist,low,Obscure,184,8.0,children's writer; journalist; writer,True,Maria Osten,German journalist and Soviet agent,maria-osten-german-journalist,writing,85.0,21951.0,343484.0,5,10,13
Marika Rökk,marika-r~f6~kk,actor,high,Well-known,1168,37.0,actor; dancer; film actor; musician; opera singer; singer; stage actor,True,Marika Rökk,Hungarian-German film actress and dancer,marika-rokk-actress,film-tv,95.0,9597.0,343454.0,4,11,13
Marina Anissina,marina-anissina,athlete,high,Well-known,3166,26.0,athlete; figure skater; figure skating choreographer; ice dancer,True,Marina Anissina,French-Russian Olympic ice dancer,marina-anissina-ice-dancer,sports,95.0,10239.0,343471.0,3,11,13
María Elena Walsh,mar~ed~a-elena-walsh,novelist,high,Well-known,2550,43.0,children's writer; composer; film score composer; journalist; novelist; poet; screenwriter; singer; singer-songwriter; writer,True,María Elena Walsh,Argentine children's author and songwriter,maria-elena-walsh-argentine,writing,95.0,5693.0,343481.0,3,12,13
Massimo Troisi,massimo-troisi,actor,high,Well-known,5022,44.0,actor; director; film actor; film director; poet; screenwriter,True,Massimo Troisi,"Italian actor-director, Il Postino",massimo-troisi,film-tv,95.0,8560.0,343453.0,1,11,13
Maurice Barrès,maurice-barr~e8~s,novelist,high,Well-known,2259,58.0,journalist; novelist; politician; writer,True,Maurice Barrès,French nationalist novelist-politician,maurice-barres,writing,95.0,2995.0,343472.0,1,13,13
Maurice Béjart,maurice-b~e9~jart,musician,high,Well-known,1958,57.0,author; ballet dancer; ballet master; choreographer; cinematographer; costume designer; dancer; film actor; film director; film screenwriter; lighting designer; musician; scenographer; screenwriter; television director,True,Maurice Béjart,French-Swiss choreographer and dancer,maurice-bejart,arts,95.0,2291.0,343453.0,1,13,13
Max Kruse,max-kruse,athlete,deushared,Shared-name German footballer,2717,,association football player,True,Max Kruse,German poker player,max-kruse-poker,other,70.0,327793.0,343426.0,6,1,13
Mercedes Echerer,mercedes-echerer,actor,low,Obscure,163,8.0,actor; film actor; politician; presenter; speaker; stage actor,True,Mercedes Echerer,Austrian film/TV actress 1970s-80s,mercedes-echerer-actress-70s,film-tv,40.0,,,6,1,13
Meryl Streep,meryl-streep,actor,famous,Household name,368500,132.0,,True,Meryl Streep,acclaimed American actress,meryl-streep,film-tv,100.0,20.0,343436.0,1,13,13
Mete Sözen,mete-s~f6~zen,scientist,low,Obscure,168,5.0,civil engineer; engineer; scientist; structural engineer; university teacher,True,Mete A. Sözen,Turkish-American earthquake engineer,mete-sozen-engineer,science,90.0,33718.0,343489.0,6,7,13
"Michael Spicer, Baron Spicer",michael-spicer~2c~-baron-spicer,novelist,low,Obscure,192,6.0,journalist; novelist; painter; politician; writer,True,"Michael Spicer, Baron Spicer",British Conservative politician and life peer,michael-spicer-baron-spicer,politics,95.0,11850.0,343518.0,3,11,13
Michael Tarnat,michael-tarnat,athlete,deuuniq,Unique-name German footballer,1500,,association football player,True,Michael Tarnat,German former footballer,michael-tarnat-footballer,sports,95.0,17107.0,343423.0,3,10,13
Michel Faber,michel-faber,novelist,high,Well-known,2752,24.0,journalist; novelist; poet; science fiction writer; writer,True,Michel Faber,Dutch-born novelist,michel-faber,writing,95.0,6362.0,343481.0,1,12,13
Michel Suleiman,michel-suleiman,politician,high,Well-known,2734,50.0,President of the Republic; military officer; politician,True,Michel Suleiman,former President of Lebanon,michel-suleiman-lebanese-president,politics,95.0,7067.0,343460.0,3,12,13
Michèle Marian,mich~e8~le-marian,actor,low,Obscure,124,8.0,actor; film actor,True,Michèle Marian,French actress and comedian,michele-marian-french-actress,film-tv,40.0,,,3,2,13
Minako Ōba,minako-~14d~ba,novelist,low,Obscure,111,10.0,literary critic; novelist; poet; short story writer; translator; writer,True,Minako Ōba,Japanese novelist and feminist writer,minako-oba-author,writing,90.0,33228.0,343513.0,5,7,13
Miqdad ibn Aswad,miqdad-ibn-aswad,scientist,high,Well-known,2028,25.0,scientist,True,Miqdad ibn Aswad,Early Muslim companion of Muhammad,miqdad-ibn-aswad,religion,95.0,5889.0,343471.0,1,13,13
Mohamed Waheed Hassan,mohamed-waheed-hassan,politician,nameuniq,Unique name,1817,,politician,True,Mohamed Waheed Hassan Manik,former President of Maldives,mohamed-waheed-hassan-manik,politics,95.0,12577.0,343557.0,2,11,13
Musa Evloev,musa-evloev,athlete,high,Well-known,2780,26.0,amateur wrestler; athlete,True,Musa Evloev,Russian Greco-Roman wrestler,musa-evloev-wrestler,sports,95.0,42703.0,343450.0,4,6,13
Nadine Keßler,nadine-ke~df~ler,athlete,deuuniq,Unique-name German footballer,1169,,association football player,True,Nadine Keßler,German footballer and UEFA executive,nadine-kessler-footballer,sports,95.0,10542.0,343415.0,4,11,13
Natalia Avelon,natalia-avelon,actor,nameuniq,Unique name,1128,,actor; film actor; model; musician; singer,True,Natalia Avelon,Polish-German actress and singer,natalia-avelon-actress,film-tv,90.0,23881.0,343575.0,5,9,13
Neil deGrasse Tyson,neil-degrasse-tyson,scientist,famous,Household name,109063,80.0,,True,Neil deGrasse Tyson,American astrophysicist and science communicator,neil-degrasse-tyson,science,100.0,248.0,343447.0,1,13,13
Nh. Dini,nh~2e~-dini,novelist,pdcopyright,Novelist (in-copyright),1258,,novelist,True,Nh. Dini,Indonesian novelist and feminist,nh-dini-indonesian-novelist,writing,,26723.0,343581.0,5,8,13
Nicholas Patrick Stephen Wiseman,nicholas-patrick-stephen-wiseman,novelist,pdpublic,Novelist (public-domain),1313,,novelist,True,Nicholas Patrick Stephen Wiseman,British author and TV presenter,nicholas-patrick-stephen-wiseman-tv,media,,233968.0,343584.0,3,1,13
Nicolas Höfler,nicolas-h~f6~fler,athlete,deuuniq,Unique-name German footballer,877,,association football player,True,Nicolas Höfler,German defensive midfielder for SC Freiburg,nicolas-hofler-footballer-sc-freiburg,sports,95.0,19741.0,343453.0,5,9,13
Nils Petersen,nils-petersen,athlete,deushared,Shared-name German footballer,2134,,association football player,True,Nils Petersen,German football striker,nils-petersen-footballer,sports,95.0,7238.0,343420.0,9,12,13
Nino Schurter,nino-schurter,athlete,high,Well-known,2217,24.0,Olympic champion; athlete; sport cyclist,True,Nino Schurter,Swiss cross-country mountain biker,nino-schurter,sports,95.0,4722.0,343470.0,1,12,13
Norbert Siegmann,norbert-siegmann,athlete,deuuniq,Unique-name German footballer,708,,association football player,True,Norbert Siegmann,German football defender 1970s–1980s,norbert-siegmann-footballer,sports,85.0,55487.0,343418.0,7,5,13
Norman Spinrad,norman-spinrad,novelist,pdcopyright,Novelist (in-copyright),2078,,novelist,True,Norman Spinrad,American science-fiction author,norman-spinrad,writing,95.0,2808.0,343581.0,1,13,13
Otto Meissner,otto-meissner,politician,nameshared,Shared name (4+ namesakes),1859,,diplomat; jurist; politician; secretary of state,True,Otto Meissner,Weimar Republic state secretary,otto-meissner-diplomat,politics,,277240.0,343522.0,5,1,13
Otto Richard Kierulf,otto-richard-kierulf,politician,low,Obscure,158,9.0,military officer; politician,True,Otto Richard Kierulf,Norwegian PM 1871-1884,otto-richard-kierulf-politician,politics,85.0,94433.0,343471.0,8,3,13
Patrick Bauer,patrick-bauer,athlete,deushared,Shared-name German footballer,1696,,association football player,True,Patrick Bauer,German professional footballer,patrick-bauer-footballer,sports,95.0,29235.0,343413.0,12,9,13
Patrick Tambay,patrick-tambay,athlete,high,Well-known,2869,35.0,Formula One driver; athlete; journalist; politician; racing automobile driver,True,Patrick Tambay,French Formula One racing driver,patrick-tambay-f1-driver,sports,95.0,8958.0,343460.0,3,11,13
Paul McCartney,paul-mccartney,musician,famous,Household name,372639,148.0,,True,Paul McCartney,Beatles bassist and singer-songwriter,paul-mccartney,music,100.0,1.0,343436.0,1,13,13
Paul Scarron,paul-scarron,novelist,pdpublic,Novelist (public-domain),1051,,novelist,True,Paul Scarron,17th-century French poet and dramatist,paul-scarron,writing,95.0,3789.0,343583.0,1,13,13
Peter Berglar,peter-berglar,journalist,low,Obscure,127,7.0,author; historian; internist; journalist; physician; university teacher,True,Peter Berglar,German historian and biographer,peter-berglar-historian,writing,85.0,28206.0,343500.0,3,8,13
Peter Kraus,peter-kraus,actor,nameshared,Shared name (4+ namesakes),1250,,actor; director; film actor; film director; guitarist; musician; recording artist; singer; stage actor; television presenter,True,Peter Kraus,Austrian TV and film actor,peter-kraus-austrian-actor-tv,film-tv,,194631.0,343555.0,16,2,13
Peter Struck,peter-struck,politician,nameshared,Shared name (4+ namesakes),1253,,jurist; lawyer; politician,True,Peter Struck,German SPD politician,peter-struck-german-politician,politics,95.0,32816.0,343515.0,6,7,13
Petra Gerster,petra-gerster,journalist,low,Obscure,226,5.0,editing staff; journalist; news presenter; presenter; television presenter,True,Petra Gerster,German TV news anchor,petra-gerster-german-journalist,media,95.0,11691.0,343515.0,4,11,13
Philipp Hofmann,philipp-hofmann,athlete,deushared,Shared-name German footballer,732,,association football player,True,Philipp Hofmann,German professional footballer,philipp-hofmann-footballer,sports,95.0,14489.0,343418.0,9,11,13
Pierre de Marivaux,pierre-de-marivaux,novelist,pdpublic,Novelist (public-domain),1362,,novelist,True,Pierre de Marivaux,French playwright and novelist,pierre-de-marivaux,writing,95.0,2930.0,343583.0,1,13,13
Pierre Louÿs,pierre-lou~ff~s,novelist,high,Well-known,2771,48.0,novelist; photographer; poet; translator,True,Pierre Louÿs,French erotic poet and novelist,pierre-louys,writing,95.0,6059.0,343481.0,2,12,13
Pietro Mennea,pietro-mennea,politician,high,Well-known,2780,44.0,athletics competitor; lawyer; politician; sprinter,True,Pietro Mennea,Italian Olympic sprinter,pietro-mennea,sports,95.0,2056.0,343453.0,1,13,13
Prince Henry of Prussia,prince-henry-of-prussia,politician,nameshared,Shared name (4+ namesakes),1858,,aircraft pilot; military personnel; politician; soldier,True,Prince Henry of Prussia,Prussian general and statesman,prince-henry-1726-1802,politics,95.0,22058.0,343515.0,6,9,13
Princess Wilhelmine of Baden,princess-wilhelmine-of-baden,politician,high,Well-known,2496,32.0,politician,True,Wilhelmine of Baden,Grand Duchess of Hesse,wilhelmine-of-baden-1788,politics,95.0,24370.0,343442.0,4,8,13
Rafael Lucio,rafael-lucio,scientist,low,Obscure,182,5.0,physician; scientist,True,Rafael Lucio Nájera,19th-century Mexican physician,rafael-lucio-najera,science,85.0,59162.0,343488.0,11,5,13
Reinhard Genzel,reinhard-genzel,scientist,high,Well-known,2322,60.0,astronomer; astrophysicist; scientist; university teacher,True,Reinhard Genzel,German astrophysicist Nobel laureate,reinhard-genzel,science,95.0,4418.0,343450.0,1,12,13
Robert Michael Ballantyne,robert-michael-ballantyne,novelist,pdpublic,Novelist (public-domain),1574,,novelist,True,Robert Michael Ballantyne,Scottish juvenile fiction author,robert-michael-ballantyne-scottish-author,writing,95.0,10389.0,343582.0,5,11,13
Roberto Alagna,roberto-alagna,musician,high,Well-known,3122,31.0,actor; autobiographer; musician; opera singer; street artist,True,Roberto Alagna,French-Italian operatic tenor,roberto-alagna-tenor,music,95.0,5843.0,343471.0,2,12,13
Rod Thomas,rod-thomas,athlete,nameshared,Shared name (4+ namesakes),1232,,association football player,True,Rod Thomas,American NFL linebacker,rod-thomas-american-football-nfl,sports,65.0,146997.0,343555.0,15,3,13
Rohan Dennis,rohan-dennis,athlete,high,Well-known,2774,30.0,athlete; sport cyclist; track cyclist,True,Rohan Dennis,Australian professional cyclist,rohan-dennis-cyclist,sports,95.0,10239.0,343447.0,3,11,13
Roman Neustädter,roman-neust~e4~dter,athlete,nameuniq,Unique name,1389,,association football player,True,Roman Neustädter,German-Russian professional footballer,roman-neustadter-footballer,sports,95.0,14581.0,343564.0,3,10,13
Rosalía de Castro,rosal~ed~a-de-castro,novelist,high,Well-known,1988,59.0,novelist; poet; short story writer; writer,True,Rosalía de Castro,19th-century Galician poet,rosalia-de-castro-poet,writing,95.0,5037.0,343470.0,2,12,13
Rudi Gutendorf,rudi-gutendorf,athlete,deuuniq,Unique-name German footballer,787,,association football player,True,Rudi Gutendorf,German football manager,rudi-gutendorf-football-manager,sports,95.0,9067.0,343453.0,4,11,13
Rudolf Schottlaender,rudolf-schottlaender,journalist,low,Obscure,148,6.0,classical philologist; journalist; linguist; philosopher; translator; university teacher; writer,True,Rudolf Schottlaender,German classical philologist and philosopher,rudolf-schottlaender-philosopher,science,85.0,29295.0,343498.0,6,8,13
Ruedi Walter,ruedi-walter,musician,low,Obscure,191,7.0,actor; cabaret performer; film actor; musician; stage actor; television actor,True,Ruedi Walter,Swiss actor and comedian,ruedi-walter-actor,film-tv,90.0,19626.0,343498.0,3,10,13
Ruslan Kazakbayev,ruslan-kazakbayev,politician,low,Obscure,158,9.0,diplomat; jurist; politician,True,Ruslan Kazakbayev,Kyrgyz Foreign Minister,ruslan-kazakbayev-kyrgyz-diplomat,politics,85.0,44857.0,343473.0,7,6,13
Sandrine Kiberlain,sandrine-kiberlain,musician,high,Well-known,2708,35.0,actor; film actor; film director; musician; screenwriter; singer; stage actor; television actor,True,Sandrine Kiberlain,French singer-songwriter,sandrine-kiberlain-singer,music,30.0,,,2,1,13
Saskia Sassen,saskia-sassen,scientist,high,Well-known,2564,38.0,economist; researcher; scientist; sociologist; theorist; university teacher; urban planner; writer,True,Saskia Sassen,Dutch-American sociologist,saskia-sassen,science,95.0,2361.0,343450.0,1,13,13
Scott O'Dell,scott-o~27~dell,novelist,high,Well-known,2529,22.0,children's writer; novelist; writer; young adult author,True,Scott O'Dell,American children's author,scott-odell,writing,95.0,3101.0,343470.0,1,13,13
Sebastian Boenisch,sebastian-boenisch,athlete,deuuniq,Unique-name German footballer,734,,association football player,True,Sebastian Boenisch,German-Polish footballer,sebastian-boenisch-footballer,sports,90.0,13713.0,343454.0,3,11,13
Sepp Schönmetzler,sepp-sch~f6~nmetzler,athlete,low,Obscure,148,7.0,athlete; figure skater; journalist,True,Sepp Schönmetzler,German figure skater and coach,sepp-schonmetzler-figure-skater,sports,75.0,147458.0,343473.0,7,2,13
